CA1-3 Personal income summary,,,Year: 2011,,
13155,"Irwin, GA",9679,275407,28454,29005
13157,"Jackson, GA",61257,1840640,30048,35125
13159,"Jasper, GA",13885,414026,29818,30020
13161,"Jeff Davis, GA",15162,378735,24979,30375
13163,"Jefferson, GA",16675,442042,26509,32878
13165,"Jenkins, GA",8148,203829,25016,28966
13167,"Johnson, GA",9975,208489,20901,29446
13169,"Jones, GA",28516,974324,34168,30789
13171,"Lamar, GA",18194,484507,26630,32726
13173,"Lanier, GA",10404,264618,25434,27859
13175,"Laurens, GA",47949,1420367,29622,35027
13177,"Lee, GA",28575,1177227,41198,32537
13179,"Liberty, GA",65451,1828710,27940,49487
13181,"Lincoln, GA",7862,228726,29093,28582
13183,"Long, GA",15136,325018,21473,28822
13185,"Lowndes, GA",111885,3461515,30938,35240
13187,"Lumpkin, GA",30031,828043,27573,33594
13189,"McDuffie, GA",21673,675641,31174,31514
13191,"McIntosh, GA",14170,329234,23235,28979
13193,"Macon, GA",14405,324539,22530,33209
13195,"Madison, GA",27921,818554,29317,30081
13197,"Marion, GA",8746,234579,26821,28168
13199,"Meriwether, GA",21617,604249,27952,31082
13201,"Miller, GA",6141,206857,33685,28564
13205,"Mitchell, GA",23462,621584,26493,27442
13207,"Monroe, GA",26625,1048934,39397,36012
13209,"Montgomery, GA",9065,237968,26251,28474
13211,"Morgan, GA",17961,645986,35966,31922
13213,"Murray, GA",39557,995913,25177,33430
13215,"Muscogee, GA",194107,7688848,39611,40923
13217,"Newton, GA",100814,2603987,25830,37949
13219,"Oconee, GA",33366,1780432,53361,35039
13221,"Oglethorpe, GA",14686,449657,30618,25727
13223,"Paulding, GA",143542,5237155,36485,32414
13225,"Peach, GA",27823,829153,29801,33596
13227,"Pickens, GA",29415,1070906,36407,34735
13229,"Pierce, GA",18770,528314,28147,29688
13231,"Pike, GA",17751,543326,30608,30836
13233,"Polk, GA",41211,1090265,26456,33551
13235,"Pulaski, GA",11735,308070,26252,33667
13237,"Putnam, GA",21345,683155,32005,31514
13239,"Quitman, GA",2464,63465,25757,29767
13241,"Rabun, GA",16274,493495,30324,28639
13243,"Randolph, GA",7558,215362,28495,29686
13245,"Richmond, GA",201217,6100830,30320,43298
13247,"Rockdale, GA",85765,2730734,31840,41991
13249,"Schley, GA",5020,103242,20566,35805
13251,"Screven, GA",14367,423461,29475,31001
13253,"Seminole, GA",8791,315290,35865,31622
13255,"Spalding, GA",64033,1812449,28305,33699
13257,"Stephens, GA",25960,793157,30553,34451
13259,"Stewart, GA",5910,141022,23862,33247
